"","TradeOrderId","TradeAccountFk","TradeBalanceCurrency","TradeOrderCreated","TradeSide","TradeSymbol","TradeOrderAmount","TradeOrderPrice","TradePosClosed","TradePosClosePrice","TradeUserComment"
"1",15198767,"100182","USD",2017-06-21 11:33:46,"Buy","AUDCAD",1000,1.00403,0001-01-01 00:00:00,0,NA
"2",15198769,"100182","USD",2017-06-21 11:34:14,"Buy","AUDCAD",1000,1.00394,0001-01-01 00:00:00,0,NA
"3",15198770,"100182","USD",2017-06-21 11:34:52,"Sell","AUDCAD",3000,1.00395,2017-06-21 11:34:52,1.003985,NA
"4",15198771,"100182","USD",2017-06-21 11:37:11,"Sell","AUDCAD",1000,1.00486,0001-01-01 00:00:00,0,NA
"5",15198772,"100182","USD",2017-06-21 11:39:37,"Sell","AUDCAD",3000,1.00449,0001-01-01 00:00:00,0,NA
"6",15198773,"100182","USD",2017-06-21 11:41:45,"Buy","EURUSD",1000,1.11396,0001-01-01 00:00:00,0,NA
"7",15199243,"100181",NA,2017-06-21 10:58:31,"Buy","EURUSD",1000,1.11405,0001-01-01 00:00:00,0,NA
"8",15199244,"100181",NA,2017-06-21 11:05:30,"Sell","EURUSD",1000,1.11407,0001-01-01 00:00:00,0,NA
"9",15199245,"100181",NA,2017-06-21 11:28:41,"Buy","EURUSD",1000,1.11519,0001-01-01 00:00:00,0,NA
"10",15199246,"100181",NA,2017-06-21 12:04:25,"Buy","EURUSD",1000,1.11414,0001-01-01 00:00:00,0,NA
